Player,Assists_Playoffs,Goals_Playoffs,Takeaways_Playoffs,Assists_Regular,Goals_Regular,Takeaways_Regular
Adam Henrique,1.3,1.55,1.65,1.87,1.96,1.49
Adrian Kempe,1.19,1.73,1.85,1.355,1.53,1.7
Aleksander Barkov,0.948,1.322,1.2,1.215,1.588,1.145
Alex Debrincat,1.85,1.74,1.78,1.75,1.98,1.25
Alex Ovechkin,1.47,1.053,1.701,1.55,1.334,1.636
Alex Tuch,1.527,2.062,1.098,1.987,1.86,1.217
Anze Kopitar,1.338,1.445,1.288,1.292,1.93,1.318
Artemi Panarin,0.998,1.42,1.493,1.215,1.615,1.483
Auston Matthews,1.309,0.913,1.01,1.44,1.212,1.021
Blake Coleman,2.23,2.103,1.7,1.953,2.22,1.41
Brad Marchand,1.371,1.4,1.155,1.211,1.509,1.252
Brayden Point,1.425,1.262,1.498,1.435,1.305,1.398
Brock Nelson,1.842,1.424,1.372,1.666,1.646,1.442
Cale Makar,1.112,2.142,1.597,1.06,1.918,1.162
Charlie Coyle,1.667,2.139,1.363,1.787,2.17,1.283
Chris Kreider,1.838,1.49,1.888,1.724,1.39,1.77
Clayton Keller,1.32,1.98,1.47,1.44,2.17,1.39
Cole Caufield,1.99,1.54,1.63,1.05,1.94,1.32
Connor Mcdavid,0.983,1.317,1.052,0.945,1.345,1.068
David Pastrnak,1.153,1.334,1.244,1.321,1.487,1.303
Dylan Strome,0.9,1.765,1.575,1.6,2.065,1.54
Elias Pettersson,1.06,1.0,1.015,1.36,1.675,1.4
Erik Karlsson,1.09,4.1,0.97,1.115,2.81,1.08
Evan Bouchard,1.693,2.787,1.13,1.357,2.417,1.327
Evgeni Malkin,1.262,1.357,1.123,1.165,1.597,1.055
Filip Forsberg,1.336,1.52,0.876,1.533,1.636,1.059
Frank Vatrano,2.64,1.545,1.455,2.115,1.87,1.745
Gustav Nyquist,1.215,1.195,1.71,1.255,1.97,1.49
J.T. Miller,1.343,1.21,1.277,1.327,1.73,1.49
Jack Eichel,1.325,1.29,0.91,1.12,1.575,1.09
Jack Hughes,0.99,1.24,0.92,1.14,1.38,1.21
Jared Mccann,1.26,0.75,1.1,1.59,1.4,1.09
Jason Robertson,1.15,1.33,1.29,1.253,1.49,1.197
Jesper Bratt,1.62,0.82,1.49,1.29,1.89,1.6
Joe Pavelski,1.3,1.871,1.615,1.516,1.622,1.4
Joel Eriksson Ek,1.845,1.925,1.59,2.02,1.655,1.625
Joel Farabee,1.66,2.63,1.74,2.05,2.41,1.84
John Carlson,1.112,2.425,1.335,1.275,2.218,1.268
Johnny Gaudreau,0.94,1.435,1.56,1.195,1.615,1.29
Jonathan Marchessault,1.427,1.758,1.213,1.43,1.692,1.32
Jordan Kyrou,0.67,1.69,2.29,1.38,1.54,1.29
Josh Morrissey,1.383,3.727,1.65,1.807,2.983,1.74
Kevin Fiala,0.992,1.608,1.54,1.522,1.662,1.305
Kirill Kaprizov,0.755,1.46,1.45,1.425,1.265,1.25
Kyle Connor,1.368,1.516,1.66,1.592,1.552,1.238
Leon Draisaitl,1.243,1.638,0.927,1.14,1.31,1.115
Mark Scheifele,1.145,1.738,1.028,1.33,1.482,1.24
Martin Necas,1.455,1.812,1.122,1.532,1.812,1.728
Mathew Barzal,1.248,2.025,0.908,1.23,1.935,1.312
Matt Duchene,1.5,1.605,1.625,1.51,1.915,1.49
Matthew Tkachuk,0.9,1.648,1.306,1.328,1.614,1.504
Mikael Granlund,2.095,2.265,2.115,1.635,2.09,1.305
Mike Matheson,3.61,2.55,1.61,1.54,2.66,1.37
Mikko Rantanen,1.055,1.24,1.475,1.187,1.362,1.162
Mitchell Marner,0.938,1.623,1.062,1.21,1.708,1.058
Nathan Mackinnon,0.788,1.477,1.48,1.035,1.253,1.34
Nazem Kadri,1.425,1.992,1.358,1.468,1.715,1.432
Nick Foligno,1.728,2.593,1.36,1.902,2.328,1.475
Nick Suzuki,1.37,2.51,1.605,1.605,1.855,1.23
Nico Hischier,0.88,0.84,1.3,1.22,1.56,1.37
Nikita Kucherov,1.137,1.402,1.387,1.122,1.416,1.324
Oliver Bjorkstrand,1.88,2.293,1.833,1.87,2.21,1.483
Owen Tippett,3.05,2.6,2.03,1.76,2.34,1.41
Pavel Buchnevich,1.27,0.79,1.55,1.12,1.7,1.45
Quinn Hughes,1.17,2.82,1.65,1.21,3.13,1.18
Robert Thomas,1.2,2.19,0.887,1.627,2.697,1.237
Roman Josi,0.95,1.953,1.675,1.265,2.205,1.76
Sam Reinhart,1.25,1.137,1.633,1.57,1.47,1.45
Sebastian Aho,1.357,1.353,1.19,1.353,1.543,1.14
Seth Jarvis,1.64,2.243,2.253,1.66,1.963,1.403
Sidney Crosby,1.027,1.322,1.303,1.195,1.412,1.335
Steven Stamkos,0.912,1.302,2.025,1.237,1.447,1.693
Vince Dunn,1.345,1.92,2.04,1.43,2.595,1.5
Vincent Trocheck,1.15,1.547,1.43,1.477,1.647,1.347
William Karlsson,1.62,2.517,1.218,1.567,2.01,1.252
William Nylander,1.61,1.708,1.212,1.368,1.838,1.213
Zach Werenski,1.857,1.837,1.547,1.72,2.343,1.557
