DATE,G,A,TKA,Season,Player,MonthOrPlayoff
Sun 6/11,0,0,1,2016-17,Evgeni Malkin,Y
Thu 6/8,1,1,0,2016-17,Evgeni Malkin,Y
Mon 6/5,0,0,1,2016-17,Evgeni Malkin,Y
Sat 6/3,0,0,0,2016-17,Evgeni Malkin,Y
Wed 5/31,1,0,1,2016-17,Evgeni Malkin,Y
Mon 5/29,1,0,0,2016-17,Evgeni Malkin,Y
Thu 5/25,0,0,1,2016-17,Evgeni Malkin,Y
Tue 5/23,1,0,1,2016-17,Evgeni Malkin,Y
Sun 5/21,0,3,1,2016-17,Evgeni Malkin,Y
Fri 5/19,0,0,0,2016-17,Evgeni Malkin,Y
Wed 5/17,0,0,2,2016-17,Evgeni Malkin,Y
Mon 5/15,0,1,0,2016-17,Evgeni Malkin,Y
Sat 5/13,1,0,1,2016-17,Evgeni Malkin,Y
Wed 5/10,0,0,1,2016-17,Evgeni Malkin,Y
Mon 5/8,1,0,0,2016-17,Evgeni Malkin,Y
Sat 5/6,0,1,0,2016-17,Evgeni Malkin,Y
Wed 5/3,0,1,0,2016-17,Evgeni Malkin,Y
Mon 5/1,1,1,2,2016-17,Evgeni Malkin,Y
Sat 4/29,1,1,1,2016-17,Evgeni Malkin,Y
Thu 4/27,0,0,2,2016-17,Evgeni Malkin,Y
Thu 4/20,0,3,0,2016-17,Evgeni Malkin,Y
Tue 4/18,0,2,0,2016-17,Evgeni Malkin,Y
Sun 4/16,1,2,2,2016-17,Evgeni Malkin,Y
Fri 4/14,1,0,0,2016-17,Evgeni Malkin,Y
Wed 4/12,0,2,1,2016-17,Evgeni Malkin,Y
Wed 3/15,0,0,0,2016-17,Evgeni Malkin,N
Mon 3/13,1,0,1,2016-17,Evgeni Malkin,N
Sat 3/11,0,0,2,2016-17,Evgeni Malkin,N
Fri 3/10,1,0,1,2016-17,Evgeni Malkin,N
Wed 3/8,2,1,0,2016-17,Evgeni Malkin,N
Sun 3/5,1,1,0,2016-17,Evgeni Malkin,N
Fri 3/3,2,1,2,2016-17,Evgeni Malkin,N
Wed 3/1,0,0,2,2016-17,Evgeni Malkin,N
Tue 2/28,1,0,0,2016-17,Evgeni Malkin,N
Sat 2/25,0,1,2,2016-17,Evgeni Malkin,N
Tue 2/21,1,0,1,2016-17,Evgeni Malkin,N
Sun 2/19,0,0,0,2016-17,Evgeni Malkin,N
Fri 2/17,0,1,0,2016-17,Evgeni Malkin,N
Thu 2/16,1,1,0,2016-17,Evgeni Malkin,N
Tue 2/14,1,1,0,2016-17,Evgeni Malkin,N
Tue 1/24,0,0,1,2016-17,Evgeni Malkin,N
Sun 1/22,0,2,1,2016-17,Evgeni Malkin,N
Fri 1/20,1,1,3,2016-17,Evgeni Malkin,N
Wed 1/18,0,1,2,2016-17,Evgeni Malkin,N
Mon 1/16,3,0,0,2016-17,Evgeni Malkin,N
Sat 1/14,1,0,0,2016-17,Evgeni Malkin,N
Thu 1/12,0,1,2,2016-17,Evgeni Malkin,N
Wed 1/11,1,0,1,2016-17,Evgeni Malkin,N
Sun 1/8,0,0,1,2016-17,Evgeni Malkin,N
Sat 12/31,1,1,0,2016-17,Evgeni Malkin,N
Wed 12/28,0,0,3,2016-17,Evgeni Malkin,N
Tue 12/27,1,1,0,2016-17,Evgeni Malkin,N
Fri 12/23,0,2,2,2016-17,Evgeni Malkin,N
Thu 12/22,0,0,0,2016-17,Evgeni Malkin,N
Tue 12/20,1,2,0,2016-17,Evgeni Malkin,N
Sat 12/17,1,0,2,2016-17,Evgeni Malkin,N
Fri 12/16,0,0,2,2016-17,Evgeni Malkin,N
Wed 12/14,0,1,0,2016-17,Evgeni Malkin,N
Mon 12/12,0,2,0,2016-17,Evgeni Malkin,N
Sat 12/10,2,0,3,2016-17,Evgeni Malkin,N
Thu 12/8,0,0,2,2016-17,Evgeni Malkin,N
Mon 12/5,1,2,1,2016-17,Evgeni Malkin,N
Sat 12/3,0,2,0,2016-17,Evgeni Malkin,N
Thu 12/1,0,1,0,2016-17,Evgeni Malkin,N
Wed 11/30,1,0,2,2016-17,Evgeni Malkin,N
Sat 11/26,0,3,0,2016-17,Evgeni Malkin,N
Fri 11/25,0,1,1,2016-17,Evgeni Malkin,N
Wed 11/23,0,0,0,2016-17,Evgeni Malkin,N
Mon 11/21,0,1,1,2016-17,Evgeni Malkin,N
Sat 11/19,0,1,1,2016-17,Evgeni Malkin,N
Fri 11/18,0,0,0,2016-17,Evgeni Malkin,N
Wed 11/16,0,0,1,2016-17,Evgeni Malkin,N
Sat 11/12,1,0,1,2016-17,Evgeni Malkin,N
Thu 11/10,0,1,0,2016-17,Evgeni Malkin,N
Tue 11/8,1,0,1,2016-17,Evgeni Malkin,N
Sat 11/5,0,1,0,2016-17,Evgeni Malkin,N
Thu 11/3,0,0,0,2016-17,Evgeni Malkin,N
Wed 11/2,1,0,1,2016-17,Evgeni Malkin,N
Sat 10/29,2,0,2,2016-17,Evgeni Malkin,N
Thu 10/27,1,1,0,2016-17,Evgeni Malkin,N
Tue 10/25,0,1,1,2016-17,Evgeni Malkin,N
Sat 10/22,0,0,0,2016-17,Evgeni Malkin,N
Thu 10/20,1,1,0,2016-17,Evgeni Malkin,N
Tue 10/18,0,0,1,2016-17,Evgeni Malkin,N
Mon 10/17,0,0,1,2016-17,Evgeni Malkin,N
Sat 10/15,0,1,0,2016-17,Evgeni Malkin,N
Thu 10/13,1,1,1,2016-17,Evgeni Malkin,N
